opening_candles,net_profit,return_pct,win_rate,profit_factor,sharpe_ratio,max_drawdown,total_trades
3,-4816.548228550018,-4.816548228550018,50.0,0.5613856359889358,-0.49,6.6,12
6,-4677.302198825913,-4.677302198825913,50.0,0.5048874465413125,-0.44,6.17,10
9,-4430.570900582185,-4.430570900582185,37.5,0.43639549161656,-0.84,5.38,8
