symbol,direction,quantity,entry_time,entry_price,exit_time,exit_price,holding_minutes,pnl,return_pct,risk_reward,brokerage,slippage,capital_after_trade,exit_reason
RELIANCE,LONG,379,2026-07-06 10:15:00+05:30,1310.51,2026-07-06 10:45:00+05:30,1313.16,30.0,983.51,0.2,0.66,20,2.62,100983.51,UNKNOWN
RELIANCE,LONG,182,2026-07-09 10:15:00+05:30,1291.79,2026-07-09 14:30:00+05:30,1283.69,255.0,-1493.64,-0.64,-1.2,20,2.58,99489.88,UNKNOWN
RELIANCE,LONG,422,2026-07-10 14:15:00+05:30,1308.71,2026-07-10 14:45:00+05:30,1303.74,30.0,-2117.17,-0.38,-1.37,20,2.61,97372.71,UNKNOWN
RELIANCE,LONG,311,2026-07-14 10:30:00+05:30,1302.7,2026-07-14 11:00:00+05:30,1306.35,30.0,1114.54,0.28,0.81,20,2.61,98487.25,UNKNOWN
RELIANCE,LONG,307,2026-07-17 15:00:00+05:30,1326.43,2026-07-20 09:15:00+05:30,1320.57,3975.0,-1817.22,-0.45,-1.31,20,2.65,96670.03,UNKNOWN
RELIANCE,LONG,330,2026-07-23 10:15:00+05:30,1286.89,2026-07-23 11:15:00+05:30,1281.39,60.0,-1833.96,-0.43,-1.32,20,2.57,94836.06,UNKNOWN
RELIANCE,LONG,201,2026-07-24 10:15:00+05:30,1272.67,2026-07-24 11:15:00+05:30,1279.55,60.0,1362.13,0.53,1.13,20,2.55,96198.2,UNKNOWN
RELIANCE,LONG,355,2026-07-28 10:45:00+05:30,1279.38,2026-07-28 11:00:00+05:30,1274.12,15.0,-1887.53,-0.42,-1.33,20,2.55,94310.67,UNKNOWN
RELIANCE,LONG,260,2026-07-30 10:30:00+05:30,1286.79,2026-07-30 12:30:00+05:30,1291.44,120.0,1189.09,0.36,0.93,20,2.58,95499.76,UNKNOWN
